Algorithm,DataStructure,Size,TimeSeconds
BubbleSort,Random,20,0.000001616
BubbleSort,Random,30,0.000003294
BubbleSort,Random,50,0.000008246
BubbleSort,Random,100,0.000029206
BubbleSort,Random,500,0.000466011
BubbleSort,Random,1000,0.001614843
BubbleSort,Random,5000,0.038392530
BubbleSort,Random,10000,0.161313700
BubbleSort,Sorted,20,0.000000054
BubbleSort,Sorted,30,0.000000089
BubbleSort,Sorted,50,0.000000120
BubbleSort,Sorted,100,0.000000145
BubbleSort,Sorted,500,0.000000569
BubbleSort,Sorted,1000,0.000001130
BubbleSort,Sorted,5000,0.000005360
BubbleSort,Sorted,10000,0.000011650
BubbleSort,Reverse,20,0.000000841
BubbleSort,Reverse,30,0.000001959
BubbleSort,Reverse,50,0.000005244
BubbleSort,Reverse,100,0.000016005
BubbleSort,Reverse,500,0.000367592
BubbleSort,Reverse,1000,0.001490446
